service	compose_files	ports	volumes	healthcheck	chain_dependencies	db_env	metrics_env
ghost-rollup-challenger	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/ghost-rollup-challenger/docker-compose.yml	7282->7282/tcp	4	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-rollup-challenger-l2	services/docker-compose.legacy.yml	7283->7283/tcp	1	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-rollup-proposer	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/ghost-rollup-proposer/docker-compose.yml	7272->7272/tcp	4	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-rollup-proposer-l2	services/docker-compose.legacy.yml	7273->7273/tcp	1	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-rpc-proxy	infra/docker/compose/docker-compose.services.yml,services/ghost-rpc-proxy/docker-compose.yml,services/docker-compose.legacy.yml	8546->8546/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
ghost-rpc-proxy-l1	infra/opstack/docker-compose.yml	none		yes	none	none	none
ghost-rpc-proxy-l2	infra/opstack/docker-compose.yml	none		yes	none	none	none
ghost-rpc-proxy-l3	infra/opstack/docker-compose.yml	none		no	none	none	none
ghost-ui	infra/docker/compose/docker-compose.services.yml	3200->3200/tcp		no	none	none	none
ghostchain-bootnode	infra/ghostchain/docker-compose.l1.yml	30301->30301/udp	1	no	CHAIN_ID	none	L1_METRICS_PORT
ghostchain-l1	infra/docker/liquidity-gravity/docker-compose.yml	18545->8545/tcp		yes	none	none	none
ghostchain-node1	infra/ghostchain/docker-compose.l1.yml,infra/ghostchain/docker-compose.ibft.yml	18546->8546/tcp,18552->8551/tcp,18551->30303/tcp,18660->6060/tcp;18545->8545/tcp,18546->8546/tcp,18551->30303/tcp,18660->6060/tcp	4	yes	CHAIN_ID	none	L1_METRICS_PORT
ghostchain-node2	infra/ghostchain/docker-compose.l1.yml,infra/ghostchain/docker-compose.ibft.yml	none	4	no	CHAIN_ID	none	L1_METRICS_PORT
ghostchain-node3	infra/ghostchain/docker-compose.ibft.yml	none	2	no	none	none	none
ghostchain-node4	infra/ghostchain/docker-compose.ibft.yml	none	2	no	none	none	none
ghostchain-rpc-proxy	infra/ghostchain/docker-compose.l1.yml	18545->8545/tcp		yes	CHAIN_ID	none	L1_METRICS_PORT
ghostcontrol-api	tools/ghostcontrol/infra/compose/docker-compose.yml	7401->8080/tcp		yes	L1_RPC,L2_RPC,L3_RPC	DATABASE_URL,REDIS_URL	none
ghostcontrol-db	tools/ghostcontrol/infra/compose/docker-compose.yml	none	1	no	none	POSTGRES_DB,POSTGRES_PASSWORD,POSTGRES_USER	none
ghostcontrol-ingest	tools/ghostcontrol/infra/compose/docker-compose.yml	none		no	L1_RPC,L2_RPC,L3_RPC	DATABASE_URL,REDIS_URL	none
ghostcontrol-planner	tools/ghostcontrol/infra/compose/docker-compose.yml	none		no	none	DATABASE_URL,REDIS_URL	none
ghostcontrol-policy	tools/ghostcontrol/infra/compose/docker-compose.yml	none		no	none	none	none
ghostcontrol-redis	tools/ghostcontrol/infra/compose/docker-compose.yml	none	1	no	none	none	none
ghostcontrol-runner	tools/ghostcontrol/infra/compose/docker-compose.yml	none	2	no	L1_RPC,L2_RPC,L3_RPC	REDIS_URL	none
ghostcontrol-ui	tools/ghostcontrol/infra/compose/docker-compose.yml	7400->3000/tcp		no	none	none	none
ghostl-api	docker-compose.dev.yml,apps/docker-compose.dev.yml	4000->4000/tcp	2	no	CHAIN_ID,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD,SQLITE_DB_PATH,TOKEN_DB_PATH,WALLET_DB_PATH	ALERTMANAGER_URL,GRAFANA_API_KEY,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,LOKI_URL,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_FINALITY_LAG_QUERY,PROM_LATENCY_P50_QUERY,PROM_MISSED_BLOCKS_QUERY,PROM_PARTICIPATION_QUERY,PROM_PROPOSER_QUERY,PROM_URL
ghostl-web	docker-compose.dev.yml,apps/docker-compose.dev.yml	3200->3200/tcp	1	no	NEXT_PUBLIC_L1_CHAIN_ID,NEXT_PUBLIC_L1_RPC,NEXT_PUBLIC_L2_CHAIN_ID,NEXT_PUBLIC_L2_RPC,NEXT_PUBLIC_L3_CHAIN_ID,NEXT_PUBLIC_L3_RPC	none	NEXT_PUBLIC_PROMETHEUS_URL,NEXT_PUBLIC_PROM_PARTICIPATION_QUERY,NEXT_PUBLIC_PROM_PROPOSER_QUERY
ghostl-worker	apps/docker-compose.dev.yml	7310->7310/tcp	1	no	none	WORKER_REDIS_URL	none
ghostl-worker-redis	apps/docker-compose.dev.yml	none	1	yes	none	none	none
ghostscout-db	services/ghostscout-db/docker-compose.yml	none	5	yes	none	POSTGRES_DB,POSTGRES_PASSWORD,POSTGRES_USER	none
ghostscout-frontend-l1	services/ghostscout-frontend-l1/docker-compose.yml	18651->3000/tcp	3	yes	none	none	none
ghostscout-frontend-l2	services/ghostscout-frontend-l2/docker-compose.yml	18652->3000/tcp	3	yes	none	none	none
ghostscout-frontend-l3	services/ghostscout-frontend-l3/docker-compose.yml	18653->3000/tcp	3	yes	none	none	none
ghostscout-l1	services/ghostscout-l1/docker-compose.yml	18641->4000/tcp	3	yes	CHAIN_ID	DATABASE_URL	none
ghostscout-l2	services/ghostscout-l2/docker-compose.yml	18642->4000/tcp	5	yes	CHAIN_ID	DATABASE_URL	none
ghostscout-l3	services/ghostscout-l3/docker-compose.yml	18643->4000/tcp	5	yes	CHAIN_ID	DATABASE_URL	none
global-search-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/global-search-service/docker-compose.yml	7637->7637/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
governance-service	docker-compose.agents.yml,services/governance-service/docker-compose.yml,infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml	17645->7645/tcp	3	yes	RPC_L1,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,POLICY_REGISTRY_CHAIN_ID,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
grafana	observability/infra/docker-compose.yml,infra/opstack/docker-compose.yml,infra/docker/compose/docker-compose.obs.yml,infra/docker/liquidity-gravity/docker-compose.yml	3000->3000/tcp	3	yes	none	none	PROMETHEUS_URL
hyper-ghost-supervisor	infra/opstack/docker-compose.yml	7077->7077/tcp	1	yes	none	HG_DB_MIGRATE,HG_DB_PATH,HG_DB_SEED_DEMO	none
key-rotation-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/key-rotation-service/docker-compose.yml	7619->7619/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
l1-mainnet-geth	infra/opstack/docker-compose.mainnet-geth.yml	38545->8545/tcp,38546->8546/tcp,38551->8551/tcp,38660->6060/tcp	1	no	none	none	none
l1-rpc-proxy	infra/opstack/docker-compose.yml	none	1	yes	none	none	none
l2-geth	infra/opstack/docker-compose.yml	29547->8545/tcp,29548->8546/tcp,29606->6060/tcp	2	yes	none	none	none
liquidity-router	infra/docker/liquidity-gravity/docker-compose.yml	7607->7607/tcp	1	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
liquidity-service	docker-compose.phase3.yml,infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/liquidity-service/docker-compose.yml	7606->7606/tcp	3	yes	RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
loki	observability/infra/docker-compose.yml,infra/opstack/docker-compose.yml,infra/docker/compose/docker-compose.obs.yml	3100->3100/tcp	2	yes	none	none	none
mempool-service	infra/docker/compose/docker-compose.services.yml,services/mempool-service/docker-compose.yml,services/docker-compose.legacy.yml	7610->7610/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
migrate	apps/docker-compose.yml,infra/docker/compose/docker-compose.services.yml	none	1	no	none	DATABASE_URL,REDIS_URL	none
network-context-service	docker-compose.autonomy.yml,infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/network-context-service/docker-compose.yml	17633->7633/tcp	3	yes	RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
network-manager	infra/opstack/docker-compose.network-manager.yml	none	1	no	none	none	none
network-manager-service	docker-compose.autonomy.yml,infra/docker/compose/docker-compose.services.yml,services/network-manager-service/docker-compose.yml,services/docker-compose.legacy.yml	17766->7766/tcp	4	yes	GOVERNANCE_RPC_L1,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
node-health-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/node-health-service/docker-compose.yml	7613->7613/tcp	3	yes	RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
node-inventory-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/node-inventory-service/docker-compose.yml	7622->7622/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
notifications-service	infra/docker/compose/docker-compose.services.yml,services/notifications-service/docker-compose.yml,services/docker-compose.legacy.yml	7638->7638/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
op-batcher	infra/opstack/docker-compose.yml	8551->8551/tcp,7301->7301/tcp	1	yes	none	none	none
op-gate	infra/opstack/docker-compose.yml	28546->8545/tcp	1	yes	none	none	none
op-gate-l1	infra/opstack/docker-compose.yml	28547->8545/tcp	1	yes	none	none	none
op-node	infra/opstack/docker-compose.yml	9546->9546/tcp,7300->7300/tcp	2	yes	none	none	none
op-proposer	infra/opstack/docker-compose.yml	8560->8560/tcp,7302->7302/tcp	1	yes	none	none	none
op-sequencer	infra/opstack/docker-compose.yml	9646->9646/tcp,7303->7303/tcp	2	yes	none	none	none
ops-agent	docker-compose.agents.yml	none		no	none	none	none
participation-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/participation-service/docker-compose.yml	7603->7603/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
payout-service	infra/docker/compose/docker-compose.services.yml,services/payout-service/docker-compose.yml,services/docker-compose.legacy.yml	7629->7629/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
peer-graph-service	infra/docker/compose/docker-compose.services.yml,services/peer-graph-service/docker-compose.yml,services/docker-compose.legacy.yml	7636->7636/tcp	3	yes	RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
pil-migrate	services/docker-compose.legacy.yml,services/pil-migrate/docker-compose.yml	none	4	yes	none	DATABASE_URL	none
pil-postgres	services/pil-postgres/docker-compose.yml,services/docker-compose.legacy.yml	5434->5432/tcp	3	yes	none	POSTGRES_DB,POSTGRES_PASSWORD,POSTGRES_USER	none
planner-agent	docker-compose.agents.yml	none		no	none	none	none
postgres	apps/docker-compose.yml,infra/docker/compose/docker-compose.services.yml	5432->5432/tcp	1	yes	none	POSTGRES_DB,POSTGRES_PASSWORD,POSTGRES_USER	none
preconfirm-l2-service	services/docker-compose.legacy.yml	7691->7691/tcp		yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
preconfirm-l3-service	services/docker-compose.legacy.yml	7692->7692/tcp		yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
preconfirm-service	services/preconfirm-service/docker-compose.yml	7691->7691/tcp		yes	none	none	none
prometheus	observability/infra/docker-compose.yml,infra/opstack/docker-compose.yml,infra/docker/compose/docker-compose.obs.yml,infra/docker/liquidity-gravity/docker-compose.yml	9090->9090/tcp;9091->9090/tcp	3	yes	none	none	none
